City_Code,Accomodation_Type,Reco_Insurance_Type,Is_Spouse,Health Indicator,Holding_Policy_Duration,Holding_Policy_Type,Reco_Policy_Cat,Reco_Policy_Premium,Response,Age
C1,Owned,Individual,No,X2,5.0,3.0,19,8568.0,0,35
C1,Owned,Individual,No,X1,5.0,3.0,7,16614.0,0,74
C4,Rented,Individual,No,X1,5.0,3.0,11,10668.0,0,20
C4,Owned,Individual,No,X3,4.0,3.0,8,20298.0,0,75
C2,Owned,Joint,Yes,X1,6.0,3.0,11,22464.0,0,51
C2,Owned,Joint,Yes,X1,5.0,3.0,21,23284.8,0,52
C5,Owned,Joint,Yes,X1,7.0,3.0,21,28350.0,1,72
C11,Rented,Individual,No,X1,2.0,3.0,17,7680.0,0,30
C10,Rented,Joint,No,X3,5.0,3.0,21,9615.0,0,24
C1,Rented,Individual,No,X1,15.0,3.0,14,16666.0,0,47
C8,Rented,Joint,Yes,X1,2.0,3.0,2,9727.2,0,33
C2,Rented,Individual,No,X1,3.0,2.0,13,22382.0,0,75
C5,Owned,Individual,No,X1,5.0,3.0,16,6700.0,0,29
C2,Owned,Individual,No,X4,1.0,4.0,22,15048.0,0,44
C19,Owned,Individual,No,X3,15.0,3.0,19,9568.0,0,49
C10,Rented,Individual,No,X1,5.0,1.0,21,11120.0,0,48
C5,Rented,Individual,No,X1,5.0,3.0,1,8162.0,0,24
C19,Owned,Individual,No,X1,5.0,3.0,16,7644.0,1,28
C7,Rented,Individual,No,X2,5.0,3.0,19,14762.0,0,58
C5,Rented,Individual,No,X1,3.0,3.0,10,11808.0,1,25
C1,Owned,Individual,No,X1,5.0,1.0,16,12804.0,1,52
C2,Owned,Individual,No,X2,5.0,3.0,18,6590.0,0,24
C3,Rented,Individual,No,X6,1.0,4.0,18,6800.0,0,21
C9,Rented,Individual,No,X6,1.0,1.0,4,4116.0,0,21
C10,Rented,Individual,No,X2,4.0,2.0,19,9744.0,0,31
C17,Owned,Individual,No,X1,7.0,4.0,19,14688.0,0,45
C1,Owned,Individual,No,X1,12.0,4.0,18,14190.0,0,47
C10,Rented,Individual,No,X3,1.0,3.0,3,10384.0,1,28
C13,Rented,Individual,No,X1,5.0,3.0,12,10420.0,0,43
C4,Owned,Joint,Yes,X6,5.0,3.0,14,21294.0,0,64
C14,Rented,Individual,No,X6,5.0,2.0,21,6200.0,0,34
C30,Owned,Individual,No,X1,3.0,3.0,1,14690.0,0,61
C16,Rented,Joint,No,X4,5.0,2.0,20,15768.0,0,44
C12,Rented,Individual,No,X3,5.0,1.0,19,15768.0,0,58
C2,Owned,Joint,No,X2,5.0,3.0,22,16092.0,0,51
C3,Owned,Individual,No,X2,2.0,3.0,21,19170.0,0,75
C8,Owned,Individual,No,X1,9.0,2.0,16,16776.0,0,51
C1,Owned,Individual,No,X1,15.0,1.0,16,20896.0,0,73
C4,Rented,Individual,No,X1,1.0,1.0,15,7910.0,0,26
C9,Owned,Individual,No,X1,1.0,1.0,19,11040.0,1,34
C1,Owned,Joint,Yes,X1,6.0,2.0,13,36054.4,0,75
C7,Owned,Individual,No,X2,5.0,3.0,20,12560.0,1,51
C14,Owned,Individual,No,X4,5.0,3.0,18,11016.0,0,33
C3,Owned,Joint,Yes,X1,1.0,3.0,22,30016.0,1,70
C1,Owned,Joint,Yes,X5,5.0,3.0,16,22473.0,0,47
C6,Owned,Individual,No,X4,5.0,3.0,5,16716.0,1,75
C15,Rented,Individual,No,X3,1.0,1.0,16,8472.0,1,39
C6,Owned,Individual,No,X6,5.0,3.0,17,11196.0,0,29
C9,Rented,Individual,No,X2,4.0,3.0,22,8708.0,0,30
C1,Owned,Individual,No,X1,5.0,3.0,16,23750.0,0,75
C14,Rented,Individual,No,X2,3.0,1.0,8,12492.0,0,53
C5,Rented,Individual,No,X2,5.0,3.0,18,3990.0,0,23
C10,Owned,Joint,Yes,X2,5.0,3.0,21,25410.0,0,63
C1,Owned,Individual,No,X4,5.0,3.0,12,18870.0,0,70
C6,Owned,Individual,No,X1,1.0,3.0,15,18258.0,0,66
C19,Owned,Individual,No,X1,2.0,3.0,17,17992.0,0,49
C1,Owned,Individual,No,X1,15.0,2.0,12,14736.0,0,48
C4,Owned,Joint,Yes,X1,5.0,3.0,2,20630.4,0,47
C9,Owned,Joint,Yes,X4,5.0,3.0,4,14806.4,0,26
C18,Owned,Individual,No,X4,5.0,1.0,16,14564.0,1,45
C15,Rented,Individual,No,X1,1.0,1.0,2,4680.0,1,29
C11,Owned,Joint,Yes,X6,1.0,4.0,19,20784.4,0,49
C10,Rented,Individual,No,X1,2.0,1.0,18,11184.0,0,41
C3,Owned,Individual,No,X3,5.0,3.0,14,4264.0,0,24
C36,Rented,Individual,No,X3,15.0,2.0,13,10206.0,0,53
C2,Rented,Individual,No,X6,10.0,3.0,18,12958.0,0,62
C9,Rented,Individual,No,X2,5.0,3.0,20,5352.0,0,22
C3,Rented,Individual,No,X2,1.0,3.0,16,9786.0,0,21
C2,Rented,Individual,No,X3,1.0,1.0,2,4224.0,1,24
C16,Owned,Joint,Yes,X3,6.0,2.0,22,16968.0,1,54
C16,Rented,Joint,Yes,X1,2.0,1.0,22,10278.0,0,28
C10,Rented,Individual,No,X3,1.0,1.0,18,9646.0,0,39
C1,Rented,Individual,No,X4,2.0,3.0,7,9338.0,1,23
C18,Rented,Joint,Yes,X4,5.0,3.0,2,27648.0,0,63
C2,Rented,Individual,No,X4,5.0,3.0,21,16104.0,0,58
C1,Owned,Individual,No,X1,4.0,1.0,13,17758.0,0,72
C12,Rented,Individual,No,X5,5.0,3.0,21,6850.0,1,27
C2,Rented,Individual,No,X4,10.0,2.0,13,11860.0,0,40
C4,Rented,Individual,No,X1,5.0,3.0,7,3972.0,0,21
C6,Rented,Joint,Yes,X4,5.0,3.0,17,26332.8,0,46
C1,Owned,Individual,No,X2,7.0,3.0,21,18180.0,0,63
C2,Rented,Individual,No,X4,5.0,3.0,3,10128.0,0,44
C9,Rented,Individual,No,X2,1.0,2.0,22,13060.0,0,30
C2,Rented,Individual,No,X1,3.0,3.0,22,7248.0,1,26
C4,Owned,Individual,No,X2,5.0,3.0,7,6220.0,0,25
C4,Rented,Individual,No,X2,9.0,4.0,1,17280.0,0,72
C12,Rented,Individual,No,X8,2.0,1.0,12,15470.0,0,46
C7,Owned,Individual,No,X4,5.0,3.0,21,10320.0,0,34
C20,Rented,Individual,No,X2,3.0,3.0,6,12300.0,0,31
C15,Owned,Individual,No,X1,5.0,3.0,1,8218.0,0,24
C2,Rented,Individual,No,X4,4.0,2.0,17,12860.0,0,43
C1,Owned,Joint,Yes,X2,5.0,3.0,20,22892.8,0,75
C10,Rented,Individual,No,X1,5.0,3.0,21,8412.0,0,22
C28,Rented,Individual,No,X1,5.0,3.0,22,11682.0,1,49
C12,Rented,Individual,No,X1,5.0,3.0,2,16996.0,0,67
C3,Owned,Joint,Yes,X4,5.0,3.0,21,21056.0,1,37
C13,Owned,Individual,No,X3,3.0,3.0,2,8148.0,0,40
C18,Rented,Joint,Yes,X1,3.0,4.0,19,15097.6,1,23
C10,Rented,Individual,No,X1,7.0,2.0,12,6888.0,0,34
C1,Owned,Individual,No,X4,5.0,2.0,16,17070.0,0,60
C1,Owned,Individual,No,X1,5.0,3.0,8,17082.0,0,73
C2,Owned,Joint,Yes,X1,13.0,4.0,11,25662.0,0,75
C1,Owned,Individual,No,X2,3.0,3.0,14,12960.0,1,48
C2,Owned,Joint,No,X1,5.0,3.0,22,28395.0,0,55
C1,Owned,Joint,Yes,X1,14.0,2.0,18,16909.2,1,37
C3,Owned,Individual,No,X4,5.0,3.0,18,11664.0,0,45
C3,Owned,Individual,No,X1,5.0,3.0,19,15408.0,0,64
C5,Rented,Individual,No,X3,2.0,1.0,5,9842.0,0,32
C27,Owned,Joint,No,X2,10.0,3.0,20,29478.4,1,75
C3,Owned,Individual,No,X1,1.0,1.0,14,9312.0,1,31
C24,Rented,Individual,No,X3,2.0,1.0,16,11448.0,0,49
C22,Owned,Joint,Yes,X2,5.0,3.0,1,25776.0,0,61
C4,Owned,Joint,Yes,X4,5.0,3.0,18,24486.0,0,75
C7,Owned,Individual,No,X4,1.0,1.0,12,16950.0,0,68
C2,Rented,Individual,No,X3,2.0,3.0,11,18930.0,0,69
C5,Rented,Individual,No,X1,5.0,4.0,17,8974.0,0,32
C3,Owned,Individual,No,X1,15.0,3.0,22,15932.0,0,62
C4,Rented,Individual,No,X3,5.0,3.0,19,5096.0,1,29
C2,Owned,Individual,No,X1,5.0,3.0,17,14040.0,0,52
C1,Rented,Individual,No,X1,3.0,4.0,18,12920.0,0,59
C3,Owned,Individual,No,X4,2.0,3.0,18,10704.0,0,36
C13,Owned,Individual,No,X2,3.0,1.0,17,14928.0,0,51
C4,Rented,Individual,No,X1,7.0,4.0,17,13134.0,1,42
C7,Owned,Individual,No,X1,13.0,1.0,19,10134.0,0,51
C4,Owned,Individual,No,X3,5.0,3.0,13,13416.0,0,44
C28,Owned,Joint,Yes,X1,2.0,1.0,17,21672.0,0,65
C1,Rented,Joint,No,X1,5.0,3.0,16,18340.0,1,50
C13,Rented,Individual,No,X1,6.0,1.0,9,9856.0,1,40
C19,Owned,Individual,No,X1,5.0,3.0,1,14568.0,0,55
C2,Rented,Joint,Yes,X2,1.0,3.0,13,22902.0,0,51
C2,Owned,Joint,Yes,X2,3.0,3.0,3,26499.2,0,62
C2,Owned,Joint,Yes,X1,7.0,4.0,16,25376.0,0,62
C3,Rented,Individual,No,X4,2.0,1.0,16,8736.0,0,36
C3,Owned,Individual,No,X2,2.0,1.0,21,16104.0,0,36
C10,Rented,Joint,No,X1,13.0,2.0,21,28140.0,0,75
C1,Owned,Joint,Yes,X2,5.0,3.0,12,22809.6,0,67
C9,Owned,Individual,No,X1,4.0,3.0,21,15418.0,1,66
C7,Owned,Individual,No,X2,5.0,3.0,14,13200.0,0,43
C4,Owned,Individual,No,X1,6.0,4.0,21,10128.0,0,28
C33,Owned,Individual,No,X2,5.0,3.0,22,14616.0,0,44
C2,Rented,Individual,No,X2,8.0,3.0,18,15000.0,0,41
C20,Owned,Individual,No,X4,15.0,3.0,21,18240.0,0,55
C7,Rented,Individual,No,X1,5.0,3.0,17,7572.0,0,23
C1,Owned,Individual,No,X5,3.0,4.0,22,20096.0,1,68
C7,Owned,Joint,Yes,X5,5.0,3.0,19,29881.6,1,74
C2,Owned,Joint,Yes,X1,6.0,3.0,3,16968.0,0,36
C3,Rented,Joint,Yes,X3,5.0,3.0,8,20174.0,0,45
C6,Owned,Joint,No,X2,5.0,3.0,20,9585.0,0,24
C4,Rented,Joint,Yes,X3,9.0,3.0,18,21924.0,0,53
C1,Owned,Individual,No,X2,5.0,3.0,13,19264.0,0,57
C16,Rented,Individual,No,X4,5.0,3.0,16,3690.0,0,22
C2,Rented,Individual,No,X1,5.0,3.0,22,8472.0,0,22
C20,Rented,Individual,No,X3,5.0,3.0,4,5670.0,0,27
C9,Owned,Individual,No,X3,8.0,2.0,17,15114.0,0,53
C2,Owned,Individual,No,X1,1.0,4.0,17,13776.0,1,46
C7,Owned,Individual,No,X3,4.0,1.0,12,7020.0,0,26
C15,Rented,Individual,No,X1,5.0,3.0,22,9198.0,0,24
C12,Rented,Individual,No,X1,5.0,3.0,16,16296.0,0,55
C8,Owned,Individual,No,X4,8.0,3.0,1,15990.0,0,57
C7,Owned,Individual,No,X1,1.0,1.0,1,18600.0,0,62
C3,Owned,Joint,Yes,X3,5.0,3.0,1,16184.0,0,38
C13,Rented,Individual,No,X2,7.0,3.0,18,12280.0,0,41
C5,Rented,Individual,No,X1,3.0,3.0,20,19740.0,0,65
C1,Owned,Joint,No,X4,5.0,3.0,22,31897.6,1,65
C6,Owned,Joint,Yes,X1,5.0,3.0,21,24960.0,1,60
C15,Rented,Individual,No,X1,3.0,1.0,16,17628.0,0,68
C3,Owned,Individual,No,X2,2.0,3.0,16,6180.0,0,33
C29,Rented,Joint,No,X1,5.0,3.0,22,24531.0,1,56
C1,Owned,Individual,No,X3,15.0,2.0,17,16940.0,0,75
C20,Owned,Individual,No,X1,4.0,3.0,21,16100.0,0,58
C17,Owned,Individual,No,X4,5.0,3.0,17,6440.0,1,31
C12,Owned,Individual,No,X1,3.0,1.0,19,13032.0,0,48
C23,Rented,Individual,No,X1,5.0,3.0,15,7008.0,1,24
C1,Owned,Individual,No,X1,3.0,1.0,7,16198.0,0,47
C2,Owned,Individual,No,X3,8.0,3.0,21,17444.0,0,58
C2,Rented,Individual,No,X1,5.0,3.0,21,9926.0,0,20
C13,Rented,Individual,No,X3,15.0,2.0,4,12000.0,0,53
C24,Owned,Individual,No,X1,5.0,4.0,16,13706.0,0,61
C1,Rented,Individual,No,X3,5.0,3.0,18,9422.0,0,25
C17,Rented,Individual,No,X4,5.0,3.0,21,22944.0,0,65
C3,Rented,Individual,No,X2,5.0,3.0,17,5656.0,1,19
C8,Rented,Individual,No,X3,5.0,3.0,1,7620.0,0,21
C20,Rented,Individual,No,X3,5.0,3.0,22,5850.0,1,30
C4,Rented,Individual,No,X1,5.0,3.0,22,12000.0,1,43
C2,Rented,Individual,No,X1,3.0,1.0,22,9120.0,0,34
C25,Owned,Joint,Yes,X1,1.0,1.0,16,17539.2,1,46
C16,Owned,Individual,No,X1,1.0,3.0,8,14904.0,0,68
C25,Owned,Individual,No,X3,1.0,1.0,21,12760.0,0,37
C1,Owned,Joint,Yes,X1,5.0,3.0,17,23712.0,0,63
C1,Owned,Individual,No,X1,15.0,3.0,18,19264.0,0,70
C4,Rented,Individual,No,X4,2.0,1.0,22,20280.0,0,57
C28,Owned,Individual,No,X2,7.0,1.0,16,7500.0,0,31
C4,Owned,Joint,Yes,X1,5.0,3.0,8,17472.0,0,32
C12,Rented,Individual,No,X1,1.0,2.0,19,8328.0,0,33
C7,Rented,Individual,No,X1,4.0,1.0,19,12240.0,0,50
C1,Owned,Individual,No,X5,3.0,4.0,19,14808.0,0,64
C18,Owned,Individual,No,X1,6.0,2.0,19,13508.0,0,55
C2,Rented,Individual,No,X4,5.0,3.0,14,9424.0,1,28
C2,Rented,Individual,No,X2,6.0,3.0,18,10592.0,0,47
C17,Rented,Individual,No,X3,5.0,3.0,16,10304.0,0,25
C2,Owned,Individual,No,X1,6.0,3.0,21,14898.0,0,61
C2,Owned,Individual,No,X4,15.0,3.0,18,17732.0,1,63
C6,Owned,Individual,No,X2,5.0,3.0,12,17070.0,0,69
C2,Owned,Individual,No,X1,4.0,3.0,18,19684.0,0,50
C2,Owned,Individual,No,X1,7.0,4.0,21,12340.0,0,31
C2,Owned,Joint,No,X4,5.0,3.0,3,33241.6,1,62
C12,Owned,Individual,No,X1,11.0,2.0,19,9888.0,0,34
C6,Rented,Individual,No,X1,5.0,3.0,22,3804.0,0,21
C2,Rented,Individual,No,X1,3.0,1.0,13,12060.0,1,26
C1,Rented,Individual,No,X1,1.0,3.0,12,14480.0,1,32
C4,Owned,Individual,No,X4,2.0,3.0,22,14924.0,0,58
C8,Rented,Individual,No,X3,5.0,3.0,1,16440.0,0,58
C2,Rented,Individual,No,X5,1.0,4.0,22,8796.0,1,21
C6,Rented,Individual,No,X3,3.0,2.0,20,6650.0,0,23
C1,Owned,Joint,Yes,X5,3.0,3.0,19,30290.4,0,70
C1,Owned,Joint,Yes,X2,12.0,4.0,8,14560.0,0,39
C1,Owned,Joint,Yes,X2,6.0,2.0,21,33616.8,0,71
C14,Owned,Joint,Yes,X1,15.0,4.0,18,34000.0,0,66
C20,Owned,Individual,No,X1,2.0,2.0,21,15070.0,0,35
C9,Owned,Individual,No,X1,5.0,3.0,4,13800.0,0,34
C7,Owned,Individual,No,X2,6.0,3.0,21,9002.0,1,43
C14,Rented,Individual,No,X1,7.0,3.0,18,10818.0,0,30
C6,Owned,Individual,No,X2,5.0,3.0,22,10928.0,1,34
C1,Owned,Joint,Yes,X4,1.0,4.0,12,18144.0,0,50
C1,Owned,Individual,No,X1,5.0,3.0,12,10992.0,1,25
C2,Rented,Individual,No,X3,5.0,3.0,21,5136.0,0,25
C2,Owned,Joint,Yes,X4,2.0,3.0,22,11826.0,0,34
C10,Rented,Individual,No,X6,5.0,3.0,18,8400.0,0,20
C1,Owned,Joint,Yes,X1,15.0,3.0,18,25998.0,1,71
C17,Owned,Individual,No,X2,5.0,3.0,19,9840.0,0,36
C1,Owned,Joint,Yes,X3,5.0,3.0,8,25620.0,0,60
C6,Rented,Individual,No,X1,5.0,3.0,20,9840.0,0,23
C1,Owned,Individual,No,X2,12.0,2.0,19,15808.0,0,48
C7,Owned,Individual,No,X1,5.0,3.0,21,13222.0,0,54
C3,Rented,Individual,No,X1,5.0,3.0,21,10976.0,0,25
C1,Owned,Joint,Yes,X2,15.0,3.0,19,32966.4,0,66
C2,Owned,Individual,No,X3,15.0,3.0,14,17332.0,0,59
C13,Rented,Individual,No,X1,5.0,3.0,4,7140.0,0,21
C1,Rented,Individual,No,X3,5.0,3.0,18,19680.0,1,68
C8,Rented,Individual,No,X1,5.0,3.0,15,3804.0,1,22
C18,Owned,Individual,No,X4,5.0,3.0,2,10350.0,0,50
C6,Owned,Joint,No,X1,5.0,3.0,20,23716.0,0,75
C11,Owned,Individual,No,X6,1.0,1.0,19,9808.0,0,31
C2,Owned,Joint,Yes,X2,5.0,3.0,22,33744.0,1,57
C3,Owned,Individual,No,X1,9.0,1.0,21,13240.0,0,43
C4,Owned,Individual,No,X1,9.0,3.0,6,18592.0,0,64
C1,Owned,Joint,Yes,X5,1.0,3.0,8,20428.8,0,61
C1,Owned,Individual,No,X1,10.0,3.0,5,21924.0,1,70
C3,Owned,Joint,No,X3,3.0,1.0,1,9422.0,0,25
C33,Owned,Individual,No,X1,12.0,3.0,8,17640.0,1,52
C28,Rented,Joint,No,X2,3.0,2.0,21,27090.0,1,65
C1,Owned,Individual,No,X1,5.0,3.0,8,20608.0,1,66
C21,Owned,Individual,No,X2,2.0,2.0,22,10432.0,0,36
C9,Owned,Individual,No,X4,5.0,3.0,20,7740.0,0,29
